Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVENTOPTA602101;Let them be angry then.;;;;;;;;;;;;;
bohemia_integrated;Bohemia Integrated;;;;;;;;;;;;;
bohemia_integrated_desc;Integrated the Czech crownlands into the empire. While this certainly has many benefits, it also has a cost, as it makes administration quite a bit more expensive.;;;;;;;;;;;;;
slovenia_integrated;Slovenia Integrated;;;;;;;;;;;;;
slovenia_integrated_desc;Integrated the Slovenian crownlands into the empire. While this certainly has many benefits, it also has a cost, as it makes administration quite a bit more expensive.;;;;;;;;;;;;;
croatia_integrated;Croatia Integrated;;;;;;;;;;;;;
croatia_integrated_desc;Integrated the Croatian crownlands into the empire. While this certainly has many benefits, it also has a cost, as it makes administration quite a bit more expensive.;;;;;;;;;;;;;
croatia_integrated_kuk;Dalmatia Integrated;;;;;;;;;;;;;
croatia_integrated_kuk_desc;Integrated the Dalmatian crownlands into the empire. While this certainly has many benefits, it also has a cost, as it makes administration quite a bit more expensive.;;;;;;;;;;;;;
slovakia_integrated;Slovakia Integrated;;;;;;;;;;;;;
slovakia_integrated_desc;Integrated the Slovak crownlands into the empire. While this certainly has many benefits, it also has a cost, as it makes administration quite a bit more expensive.;;;;;;;;;;;;;
venice_integrated;Italian lands Integrated;;;;;;;;;;;;;
venice_integrated_desc;Integrated the Polish-Ruthenian crownlands into the empire. While this certainly has many benefits, it also has a cost, as it makes administration quite a bit more expensive.;;;;;;;;;;;;;
galicia_integrated;Polish-Ruthenian lands Integrated;;;;;;;;;;;;;
galicia_integrated_desc;Integrated the Italian crownlands into the empire. While this certainly has many benefits, it also has a cost, as it makes administration quite a bit more expensive.;;;;;;;;;;;;;
transylvania_integrated;Transylvania Integrated;;;;;;;;;;;;;
transylvania_integrated_desc;Integrated the Transylvanian crownlands into the empire. While this certainly has many benefits, it also has a cost, as it makes administration quite a bit more expensive.;;;;;;;;;;;;;
hungary_integrated;Hungary Integrated;;;;;;;;;;;;;
hungary_integrated_desc;Integrated the Hungarian crownlands into the empire. While this certainly has many benefits, it also has a cost, as it makes administration quite a bit more expensive.;;;;;;;;;;;;;
angered_hungarian_nobles;Hungarian nobles angered!;;;;;;;;;;;;;
angered_hungarian_nobles_desc;There are Hungarian aristocrats in our country, that are angry about the dissolution of The Kingdom of Hungary. This makes it hard for us to integrate areas with a high Hungarian population into our empire.;;;;;;;;;;;;;
embraced_culture;Embraced new Culture;;;;;;;;;;;;;
embraced_culture_desc;We have recently integrated a new territory into our empire, giving rights to the people living there, but this angers people who still remain among the unaccepted cultures. We have to wait for things to calm down before we can continue integrating new territories and extending the rights of more citizens.;;;;;;;;;;;;;
abolish_hungary_title;Dismantle The Kingdom of Hungary;;;;;;;;;;;;;
abolish_hungary_desc;The Hungarian nobility makes it hard for us to extend our grip over the empire. Dismantling the kingdom might anger them, but getting it done would make it possible for us to start reforming our multi-ethnic empire to a more equal one.;;;;;;;;;;;;;
incorporate_bohemia_title;Incorporate The Kingdom of Bohemia;;;;;;;;;;;;;
incorporate_bohemia_desc;We should incorporate the Czech kingdoms into our empire. This would make the people of those lands equal citizens of the empire, and it would make them much less likely to seek independence. Although, it would come at a cost, as our administration would have to work with an additional official language.;;;;;;;;;;;;;
incorporate_slovenia_title;Give Rights to the Slovenes;;;;;;;;;;;;;
incorporate_slovenia_desc;The slovenian speaking people have for a long time been living in the crownlands of Austria. It is time for us to recognize them as equal citizens. Although, it would come at a cost, as our administration would have to work with an additional official language.;;;;;;;;;;;;;
incorporate_galicia_title;The Polish Crownlands.;;;;;;;;;;;;;
incorporate_galicia_desc;The First Partition of Poland gave the Austrian Empire the new crownlands of Galicia-Lodomeria. We should give rights to the Poles to show that we do not seek to conquer them like our neighbours, but that we are here to protect them. Although, it would come at a cost, as our administration would have to work with an additional official language.;;;;;;;;;;;;;
incorporate_croatia_title;The Kingdom of Croatia;;;;;;;;;;;;;
incorporate_croatia_desc;The people of The Kingdom of Croatia have proven in 1848, that we can rely on them as friends. We should be thankful for their servitude during the Hungarian Revolution. We should welcome the croats to the group of equal citizens of our empire. Although, it would come at a cost, as our administration would have to work with an additional official language.;;;;;;;;;;;;;
incorporate_slovakia_title;The people of Northern Hugnary;;;;;;;;;;;;;
incorporate_slovakia_desc;We could recognise the Slovak minorities of the former Kingdom of Hungary as rightful and equal citizens of our empire so that we can oppose the Hungarians together in reclaiming their lands. Although, it would come at a cost, as our administration would have to work with an additional official language.;;;;;;;;;;;;;
incorporate_transylvania_title;Siebenburgen;;;;;;;;;;;;;
incorporate_transylvania_desc;Transylvania was administered separately from Hungary by Austria before the Hungarian revolution. The region is inhabited by Germans, Hungarians, and Romanians, the latter of which showed their support for the Habsburg during the Hungarian Revolution. We should thank these people by recognizing them as equal citizens of the empire. Although, it would come at a cost, as our administration would have to work with an additional official language.;;;;;;;;;;;;;
incorporate_venice_title;Metternich's Words;;;;;;;;;;;;;
incorporate_venice_desc;Certain parts of Italy have been under Habsburg rule for a long time, and it still seems like the Italians have failed to unite their culture under one country. Nevertheless, we should show our Italian citizens that they do not need such delusions as nationalism to be as free as their forefathers were. We should recognise our Italian-speaking citizens as equals, so that they can realise this. Although, it would come at a cost, as our administration would have to work with an additional official language.;;;;;;;;;;;;;
incorporate_hungary_title;Coming to Good Ends;;;;;;;;;;;;;
incorporate_hungary_desc;Now that we have dealt with the rebellious Hungarian Nobles, it is time for the Hungarian people to calm down, as they are now equal citizens of the Empire. Although, it will come at a cost, as our administration will have to work with an additional official language.;;;;;;;;;;;;;
deal_with_hungarian_nobles_title;Deal with the Hungarian Nobles;;;;;;;;;;;;;
deal_with_hungarian_nobles_desc;The Nobles of Hungary still want to lay their claims on the former lands of the Crown of Saint Stephen. This prevents us from coming to good ends with the Hungarian populations of our empire. If the Hungarian nobles are too stubborn to give their childish dreams up, we will have to make them not have dreams anymore. It is time to persecute them, and hunt them all down, that would stop them from blinding the Hungarian public.;;;;;;;;;;;;;
eduard_von_taaffe;Eduard von Taaffe;;;;;;;;;;;;;
eduard_von_taaffe_desc;Count Eduard von Taaffe was the Austrian prime minister from 1879 to 1893. One of his important steps was to give the Czech speaking populations of the empire language rights, and he also advocated other minorities to push for such rights.;;;;;;;;;;;;;
incorporate_bohemia_kuk_title;Von Taaffe's reforms;;;;;;;;;;;;;
incorporate_bohemia_kuk_desc;Count Eduard von Taaffe was the Austrian prime minister from 1879 to 1893. One of his important steps was to give the Czech speaking populations of the empire language rights, and he also advocated other minorities to push for such rights. We can follow his steps by giving the Czechs these rights, but it would come with a cost, as our administration would have to work with an additional language.;;;;;;;;;;;;;
incorporate_slovenia_kuk_title;Slovene Language Rights;;;;;;;;;;;;;
incorporate_slovenia_kuk_desc;In the year 1882, Slovene became a majority language in the Diet of Carniola, which replaced German with Slovene as the primary official language of the local government. Following this route would make Slovene an accepted culture of the empire, but it would increase the weight put on our administration, as it would have to deal with another official language.;;;;;;;;;;;;;
incorporate_galicia_kuk_title;Polish Language Rights;;;;;;;;;;;;;
incorporate_galicia_kuk_desc;In the year 1869, Polish became the official language of administration in Galicia. Following this route would make Polish an accepted culture of the empire, but it would increase the weight put on our administration, as it would have to deal with another official language.;;;;;;;;;;;;;
incorporate_croatia_kuk_title;Croatian Language Rights;;;;;;;;;;;;;
incorporate_croatia_kuk_desc;In the year 1867, Croatian became recognised as an equal language in Dalmatia. Following this route would make Croatian an accepted culture of the empire, but it would increase the weight put on our administration.;;;;;;;;;;;;;
incorporate_venice_kuk_title;Italian Language Rights;;;;;;;;;;;;;
incorporate_venice_kuk_desc;Italian has always been recognised as a cultural language (Kulturspache) by the german public. We should perhaps institute those rights. Following this route would make Italian an accepted culture of the empire, but it would increase the weight put on our administration, as it would have to deal with another official language.;;;;;;;;;;;;;
AUS_liberal_3;German-Liberals;;;;;;;;;;;;;
EVENTNAME602004;Commercial Agriculture and Forestry;;;;;;;;;;;;;
EVENTNAME602005;Commercial Agriculture and Forestry;;;;;;;;;;;;;
EVENTNAME602006;Commercial Agriculture and Forestry;;;;;;;;;;;;;
EVENTNAME602007;Commercial Agriculture and Forestry;;;;;;;;;;;;;
EVENTNAME602008;Commercial Agriculture and Forestry;;;;;;;;;;;;;
EVENTNAME602009;Commercial Agriculture and Forestry;;;;;;;;;;;;;
EVENTNAME602010;Commercial Agriculture and Forestry;;;;;;;;;;;;;
EVENTNAME602011;Commercial Agriculture and Forestry;;;;;;;;;;;;;
EVENTNAME602012;Commercial Agriculture and Forestry;;;;;;;;;;;;;
EVENTNAME602013;Commercial Agriculture and Forestry;;;;;;;;;;;;;
EVENTNAME602014;Commercial Agriculture and Forestry;;;;;;;;;;;;;
EVENTNAME602015;Commercial Agriculture and Forestry;;;;;;;;;;;;;
EVENTNAME602016;Commercial Agriculture and Forestry;;;;;;;;;;;;;
EVENTDESC602004;What should we change the RGO of this province to?;;;;;;;;;;;;;
EVENTDESC602005;What should we change the RGO of this province to?;;;;;;;;;;;;;
EVENTDESC602006;What should we change the RGO of this province to?;;;;;;;;;;;;;
EVENTDESC602007;What should we change the RGO of this province to?;;;;;;;;;;;;;
EVENTDESC602008;What should we change the RGO of this province to?;;;;;;;;;;;;;
EVENTDESC602009;What should we change the RGO of this province to?;;;;;;;;;;;;;
EVENTDESC602010;What should we change the RGO of this province to?;;;;;;;;;;;;;
EVENTDESC602011;What should we change the RGO of this province to?;;;;;;;;;;;;;
EVENTDESC602012;Unfortunately, the terrain of this province does not allow for commercial farming or forestry.;;;;;;;;;;;;;
EVENTDESC602013;What should we change the RGO of this province to?;;;;;;;;;;;;;
EVENTDESC602014;What should we change the RGO of this province to?;;;;;;;;;;;;;
EVENTDESC602015;What should we change the RGO of this province to?;;;;;;;;;;;;;
EVENTDESC602016;What should we change the RGO of this province to?;;;;;;;;;;;;;
EVTOPTA602004;Grain;;;;;;;;;;;;;
EVTOPTA602005;Grain;;;;;;;;;;;;;
EVTOPTA602006;Grain;;;;;;;;;;;;;
EVTOPTA602007;Grain;;;;;;;;;;;;;
EVTOPTA602008;Grain;;;;;;;;;;;;;
EVTOPTA602009;Grain;;;;;;;;;;;;;
EVTOPTA602010;Grain;;;;;;;;;;;;;
EVTOPTA602011;Grain;;;;;;;;;;;;;
EVTOPTA602012;How unfortunate;;;;;;;;;;;;;
EVTOPTA602013;Grain;;;;;;;;;;;;;
EVTOPTA602014;Grain;;;;;;;;;;;;;
EVTOPTA602015;Grain;;;;;;;;;;;;;
EVTOPTA602016;Grain;;;;;;;;;;;;;
EVTOPTB602004;Livestock;;;;;;;;;;;;;
EVTOPTB602005;Livestock;;;;;;;;;;;;;
EVTOPTB602006;Livestock;;;;;;;;;;;;;
EVTOPTB602007;Livestock;;;;;;;;;;;;;
EVTOPTB602008;Livestock;;;;;;;;;;;;;
EVTOPTB602009;Livestock;;;;;;;;;;;;;
EVTOPTB602010;Livestock;;;;;;;;;;;;;
EVTOPTB602011;Livestock;;;;;;;;;;;;;
EVTOPTB602012;Livestock;;;;;;;;;;;;;
EVTOPTB602013;Livestock;;;;;;;;;;;;;
EVTOPTB602014;Livestock;;;;;;;;;;;;;
EVTOPTB602015;Livestock;;;;;;;;;;;;;
EVTOPTB602016;Livestock;;;;;;;;;;;;;
EVTOPTC602004;Fruit;;;;;;;;;;;;;
EVTOPTC602005;Fruit;;;;;;;;;;;;;
EVTOPTC602006;Fruit;;;;;;;;;;;;;
EVTOPTC602007;Fruit;;;;;;;;;;;;;
EVTOPTC602008;Fruit;;;;;;;;;;;;;
EVTOPTC602009;Fruit;;;;;;;;;;;;;
EVTOPTC602010;Fruit;;;;;;;;;;;;;
EVTOPTC602011;Fruit;;;;;;;;;;;;;
EVTOPTC602012;Fruit;;;;;;;;;;;;;
EVTOPTC602013;Fruit;;;;;;;;;;;;;
EVTOPTC602014;Fruit;;;;;;;;;;;;;
EVTOPTC602015;Fruit;;;;;;;;;;;;;
EVTOPTC602016;Fruit;;;;;;;;;;;;;
EVTOPTD602004;Wool;;;;;;;;;;;;;
EVTOPTD602005;Wool;;;;;;;;;;;;;
EVTOPTD602006;Wool;;;;;;;;;;;;;
EVTOPTD602007;Wool;;;;;;;;;;;;;
EVTOPTD602008;Wool;;;;;;;;;;;;;
EVTOPTD602009;Wool;;;;;;;;;;;;;
EVTOPTD602010;Wool;;;;;;;;;;;;;
EVTOPTD602011;Wool;;;;;;;;;;;;;
EVTOPTD602012;Wool;;;;;;;;;;;;;
EVTOPTD602013;Wool;;;;;;;;;;;;;
EVTOPTD602014;Wool;;;;;;;;;;;;;
EVTOPTD602015;Wool;;;;;;;;;;;;;
EVTOPTD602016;Wool;;;;;;;;;;;;;
EVTOPTE602004;Cotton;;;;;;;;;;;;;
EVTOPTE602005;Cotton;;;;;;;;;;;;;
EVTOPTE602006;Cotton;;;;;;;;;;;;;
EVTOPTE602007;Cotton;;;;;;;;;;;;;
EVTOPTE602008;Cotton;;;;;;;;;;;;;
EVTOPTE602009;Cotton;;;;;;;;;;;;;
EVTOPTE602010;Cotton;;;;;;;;;;;;;
EVTOPTE602011;Cotton;;;;;;;;;;;;;
EVTOPTE602012;Cotton;;;;;;;;;;;;;
EVTOPTE602013;Cotton;;;;;;;;;;;;;
EVTOPTE602014;Cotton;;;;;;;;;;;;;
EVTOPTE602015;Cotton;;;;;;;;;;;;;
EVTOPTE602016;Cotton;;;;;;;;;;;;;
EVTOPTF602004;Tobacco;;;;;;;;;;;;;
EVTOPTF602005;Tobacco;;;;;;;;;;;;;
EVTOPTF602006;Tobacco;;;;;;;;;;;;;
EVTOPTF602007;Tobacco;;;;;;;;;;;;;
EVTOPTF602008;Tobacco;;;;;;;;;;;;;
EVTOPTF602009;Tobacco;;;;;;;;;;;;;
EVTOPTF602010;Tobacco;;;;;;;;;;;;;
EVTOPTF602011;Tobacco;;;;;;;;;;;;;
EVTOPTF602012;Tobacco;;;;;;;;;;;;;
EVTOPTF602013;Tobacco;;;;;;;;;;;;;
EVTOPTF602014;Tobacco;;;;;;;;;;;;;
EVTOPTF602015;Tobacco;;;;;;;;;;;;;
EVTOPTF602016;Tobacco;;;;;;;;;;;;;
EVTOPTG602004;Tea;;;;;;;;;;;;;
EVTOPTG602005;Tea;;;;;;;;;;;;;
EVTOPTG602006;Fish;;;;;;;;;;;;;
EVTOPTG602007;Tea;;;;;;;;;;;;;
EVTOPTG602008;Timber;;;;;;;;;;;;;
EVTOPTG602009;Tea;;;;;;;;;;;;;
EVTOPTG602010;Tea;;;;;;;;;;;;;
EVTOPTG602011;Tropical Wood;;;;;;;;;;;;;
EVTOPTG602012;Tea;;;;;;;;;;;;;
EVTOPTG602013;Fish;;;;;;;;;;;;;
EVTOPTG602014;Tea;;;;;;;;;;;;;
EVTOPTG602015;Fish;;;;;;;;;;;;;
EVTOPTG602016;Tea;;;;;;;;;;;;;
EVTOPTH602004;Coffee;;;;;;;;;;;;;
EVTOPTH602005;Coffee;;;;;;;;;;;;;
EVTOPTH602006;Coffee;;;;;;;;;;;;;
EVTOPTH602007;Coffee;;;;;;;;;;;;;
EVTOPTH602008;Coffee;;;;;;;;;;;;;
EVTOPTH602009;Coffee;;;;;;;;;;;;;
EVTOPTH602010;Coffee;;;;;;;;;;;;;
EVTOPTH602011;Coffee;;;;;;;;;;;;;
EVTOPTH602012;Coffee;;;;;;;;;;;;;
EVTOPTH602013;Tropical Wood;;;;;;;;;;;;;
EVTOPTH602014;Coffee;;;;;;;;;;;;;
EVTOPTH602015;Wood;;;;;;;;;;;;;
EVTOPTH602016;Coffee;;;;;;;;;;;;;
EVTOPTI602007;Fish;;;;;;;;;;;;;
EVTOPTI602009;Wood;;;;;;;;;;;;;
EVTOPTI602010;Tropical Wood;;;;;;;;;;;;;
EVTOPTI602014;Fish;;;;;;;;;;;;;
EVTOPTI602016;Wood;;;;;;;;;;;;;
EVTOPTJ602014;Tropical Wood;;;;;;;;;;;;;
discriminatory_education_l;Discriminatory Education;;;;;;;;;;;;;
inclusive_education_l;Inclusive Education;;;;;;;;;;;;;
periodic_table;Periodic Table;;;;;;;;;;;;;
EVTOPTA602200;Stuff Breaks, People Die;;;;;;;;;;;;;
EVENTDESC602200;The main railway line operating in $STATENAME$ went bankrupt.;;;;;;;;;;;;;
EVENTNAME602200;Railway Closed;;;;;;;;;;;;;
railway_companies;Transport Companies;;;;;;;;;;;;;
railway_services;Transport Services;;;;;;;;;;;;;
railway_company;Transport Company;;;;;;;;;;;;;
railway_company_desc;Choo-choo!;;;;;;;;;;;;;
railway_companies_desc;Railway companies have been invented and will be able to form and operate in our country, giving us more efficient ways to transport our troops, and giving manufacturers more ways to transport their products. Let a new era of tranportation begin!;;;;;;;;;;;;;
serfdom_not_abolished_ram;Serfdom not abolished;;;;;;;;;;;;;
serfdom_not_abolished_ram_desc;The fedual institution of serfdom is still present in our country halting technological progress.;;;;;;;;;;;;;
EVENTNAME602017;Serfdom Present in Our Country;;;;;;;;;;;;;
EVENTDESC602017;Serfs born on the land of their lords were considered his or her property. These serfs could not leave the land they were born on without the permission of their lords, and were bound to work their lords' lands. Industrial progress will be significantly slowed down until serfdom is present in our country!;;;;;;;;;;;;;
EVTOPTA602017;Very well;;;;;;;;;;;;;
EVENTNAME602018;Serfdom Abolished!;;;;;;;;;;;;;
EVENTDESC602018;Serfs are now freed, they are now able to explore the world, find work, or study anywhere. This will surely bring our country closer to industrial progress!;;;;;;;;;;;;;
EVTOPTA602018;Our people are one step closer to freedom!;;;;;;;;;;;;;
austrian_tech_school;Absolutist Bureaucracy;;;;;;;;;;;;;
switch_to_austrian_tech_title;Absolutist Bureaucracy;;;;;;;;;;;;;
switch_to_austrian_tech_desc;Absolutist bureaucracy is meant to contain seemingly diverse regions under one central governemnt. Lands that are not bound together by culture and language, should now be united by rules and laws. Small and weak nations should be forced to fight together under one state.;;;;;;;;;;;;;
switch_to_austrian_tech;Absolutist Bureaucracy;;;;;;;;;;;;;
foundry;Metal Foundry;;;;;;;;;;;;;
foundries;Metal Foundries;;;;;;;;;;;;;
foundries_desc;Metals can easily be molded into everyday items like forks or hunting knives. We are now able to mass produce these consumer goods in factories.;;;;;;;;;;;;;
foundry_desc;Metal Foundries are places where metals are molded into different shapes and forms. This is where metal mugs, utencils, and other common items are made.;;;;;;;;;;;;;
iron_castings;Metal Castings;;;;;;;;;;;;;
cheap_steel_castings;Cheap Steel;;;;;;;;;;;;;
cheap_steel_castings_desc;We can now produce metal castings much more efficiently, thus making it potentially available for a wider public.;;;;;;;;;;;;;
hungarian_silk;Hungarian Silk;;;;;;;;;;;;;
hungarian_silk_title;Hungarian Silk;;;;;;;;;;;;;
hungarian_silk_desc;Silk production in Hungary started as early as the mid 1800's, although it remained merely as a side income for the country for a while. By the late 1800s, silk production saw a considerable increase, and by 1905, Hungary was the 3rd largest producer of silk in Europe, behind France and Italy. This big leap in silk production was possible thanks to the innovation of people like Pal Bezeredj, who according to the advice of Louis Kossuth, started a major silk business in Tolna county in 1880.;;;;;;;;;;;;;
